MANIFESTID,TRUCKNO,DRIVER,ManIfestPool,SHIPDATE,Company,TRAILER,STATUS,ManIfest Warehouse,ManIfestName,ManIfestWeIght,CREATEDDATETIME,POSTINGSTARTDATETIME,POSTINGSTARTDATETIMETZID,POSTINGENDDATETIME,POSTINGENDDATETIMETZID,INVENTTRANSID,SALESID,STOPNUMBER,CustAccount,SCANNEDQTY,REASON,PACKINGSLIPID,SCANNEDERRORSQTY,LIneWeIght,PRODUCTDESCRIPTION,PICKEDQTY,PRODUCTINDICATOR,MANIFESTSTOPTYPE,ReferenceNumber,REMAINSALESPHYSICAL,DELIVERYNAME,BIllIngSQFTtotal,SaleAmount,ManIfestPostedDate,ShIp date From PS
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599209070,SO10077622,40,15677,1,,SS12354676,0,24.76019287,79 11/16 X 9 3/16 {Shape:03} 24.76<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988876,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599209247,SO10077622,40,15677,1,,SS12354676,0,80.72278646,79 9/16 X 30 {Shape:04} 80.72<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55959565,1,,16.67,240.06,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599209355,SO10077622,40,15677,1,,SS12354676,0,81.66761719,79 1/2 X 30 3/8 {Shape:23} 81.67<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55959566,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599209653,SO10077622,40,15677,1,,SS12354676,0,25.41399143,9 7/16 X 79 5/8 {Shape:03} 25.41<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988877,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599213839,SO10077622,40,15677,1,,SS12354676,0,25.58229601,79 5/8 X 9 1/2 {Shape:19} 25.58<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988878,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599214058,SO10077622,40,15677,1,,SS12354676,0,80.659375,79 1/2 X 30 {Shape:22} 80.66<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975714,1,,16.67,240.06,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599215929,SO10077622,40,15677,1,,SS12354676,0,25.22587077,79 9/16 X 9 3/8 {Shape:23} 25.23<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988879,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599216297,SO10077622,40,15677,1,,SS12354676,0,80.7638718,79 7/16 X 30 1/16 {Shape:24} 80.76<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975715,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599217322,SO10077622,40,15677,1,,SS12354676,0,23.89925022,79 5/8 X 8 7/8 {Shape:19} 23.90<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988880,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599217388,SO10077622,40,15677,1,,SS12354676,0,80.659375,79 1/2 X 30 {Shape:22} 80.66<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975716,1,,16.67,240.06,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599217432,SO10077622,40,15677,1,,SS12354676,0,80.72278646,30 X 79 9/16 {Shape:00} 80.72<BR>Shower Glass- 3/8<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975717,1,,16.67,216.69,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599217553,SO10077622,40,15677,1,,SS12354676,0,24.76019287,79 11/16 X 9 3/16 {Shape:22} 24.76<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988881,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599217585,SO10077622,40,15677,1,,SS12354676,0,81.39547635,79 9/16 X 30 1/4 {Shape:03} 81.40<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975718,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599217903,SO10077622,40,15677,1,,SS12354676,0,25.26550293,9 3/8 X 79 11/16 {Shape:00} 25.27<BR>3/8 Clear Tempered<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988882,1,,5.56,74.92,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599219699,SO10077622,40,15677,1,,SS12354676,0,81.33153646,79 1/2 X 30 1/4 {Shape:23} 81.33<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975719,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599220486,SO10077622,40,15677,1,,SS12354676,0,24.74077311,79 5/8 X 9 3/16 {Shape:18} 24.74<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988883,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599221684,SO10077622,40,15677,1,,SS12354676,0,82.40451118,79 9/16 X 30 5/8 {Shape:03} 82.40<BR>Shower Glass- 3/8<BR>Holes < 1<BR>Triangles & Traps<BR>Notches<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975720,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599222290,SO10077622,40,15677,1,,SS12354676,0,24.4233195,79 11/16 X 9 1/16 {Shape:22} 24.42<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988884,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599223198,SO10077622,40,15677,1,,SS12354676,0,80.78619792,30 X 79 5/8 {Shape:04} 80.79<BR>Shower Glass- 3/8<BR>Holes < 1<BR>Triangles & Traps<BR>Notches<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975721,1,,16.67,240.06,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599223482,SO10077622,40,15677,1,,SS12354676,0,24.94818142,79 3/4 X 9 1/4 {Shape:22} 24.95<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988885,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599223678,SO10077622,40,15677,1,,SS12354676,0,80.659375,79 1/2 X 30 {Shape:19} 80.66<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975722,1,,16.67,240.06,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599223694,SO10077622,40,15677,1,,SS12354676,0,25.91890516,79 5/8 X 9 5/8 {Shape:18} 25.92<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988886,1,,5.56,98.29,14:54.0,9/22/2023
